"agent","task","method","result","metric"
"A3C-CTS","Alien","A3C-CTS",1945.66,"score"
"A3C-CTS","Amidar","A3C-CTS",861.14,"score"
"A3C-CTS","Assault","A3C-CTS",2584.4,"score"
"A3C-CTS","Asterix","A3C-CTS",7922.7,"score"
"A3C-CTS","Asteroids","A3C-CTS",2406.57,"score"
"A3C-CTS","Atlantis","A3C-CTS",1801392.35,"score"
"A3C-CTS","Bank Heist","A3C-CTS",1182.89,"score"
"A3C-CTS","Battle Zone","A3C-CTS",7969.06,"score"
"A3C-CTS","Beam Rider","A3C-CTS",6723.89,"score"
"A3C-CTS","Berzerk","A3C-CTS",1863.6,"score"
"A3C-CTS","Bowling","A3C-CTS",75.97,"score"
"A3C-CTS","Boxing","A3C-CTS",15.75,"score"
"A3C-CTS","Breakout","A3C-CTS",473.93,"score"
"A3C-CTS","Centipede","A3C-CTS",5442.94,"score"
"A3C-CTS","Chopper Command","A3C-CTS",5088.17,"score"
"A3C-CTS","Crazy Climber","A3C-CTS",112885.03,"score"
"A3C-CTS","Demon Attack","A3C-CTS",30930.33,"score"
"A3C-CTS","Double Dunk","A3C-CTS",-7.84,"score"
"A3C-CTS","Enduro","A3C-CTS",694.83,"score"
"A3C-CTS","Fishing Derby","A3C-CTS",31.11,"score"
"A3C-CTS","Freeway","A3C-CTS",30.48,"score"
"A3C-CTS","Frostbite","A3C-CTS",325.42,"score"
"A3C-CTS","Gopher","A3C-CTS",6611.28,"score"
"A3C-CTS","Gravitar","A3C-CTS",238.68,"score"
"A3C-CTS","HERO","A3C-CTS",15210.62,"score"
"A3C-CTS","Ice Hockey","A3C-CTS",-6.45,"score"
"A3C-CTS","James Bond","A3C-CTS",1001.19,"score"
"A3C-CTS","Kangaroo","A3C-CTS",4883.53,"score"
"A3C-CTS","Krull","A3C-CTS",8605.27,"score"
"A3C-CTS","Kung-Fu Master","A3C-CTS",28615.43,"score"
"A3C-CTS","Montezuma Revenge","A3C-CTS",273.7,"score"
"A3C-CTS","Ms. Pacman","A3C-CTS",2401.04,"score"
"A3C-CTS","Name This Game","A3C-CTS",7021.3,"score"
"A3C-CTS","Pong","A3C-CTS",20.75,"score"
"A3C-CTS","Private Eye","A3C-CTS",99.32,"score"
"A3C-CTS","Q*Bert","A3C-CTS",19257.55,"score"
"A3C-CTS","River Raid","A3C-CTS",10712.54,"score"
"A3C-CTS","Road Runner","A3C-CTS",50645.74,"score"
"A3C-CTS","Robotank","A3C-CTS",7.68,"score"
"A3C-CTS","Seaquest","A3C-CTS",2015.55,"score"
"A3C-CTS","Space Invaders","A3C-CTS",1531.64,"score"
"A3C-CTS","Star Gunner","A3C-CTS",55233.43,"score"
"A3C-CTS","Tennis","A3C-CTS",-23.06,"score"
"A3C-CTS","Time Pilot","A3C-CTS",4103,"score"
"A3C-CTS","Tutankham","A3C-CTS",112.14,"score"
"A3C-CTS","Up and Down","A3C-CTS",23106.24,"score"
"A3C-CTS","Venture","A3C-CTS",0,"score"
"A3C-CTS","Video Pinball","A3C-CTS",97372.8,"score"
"A3C-CTS","Wizard of Wor","A3C-CTS",3355.09,"score"
"A3C-CTS","Zaxxon","A3C-CTS",7451.25,"score"
"A3C-CTS","Phoenix","A3C-CTS",23818.47,"score"
"A3C-CTS","Pitfall!","A3C-CTS",-259.09,"score"
"A3C-CTS","Skiing","A3C-CTS",-22177.5,"score"
"A3C-CTS","Solaris","A3C-CTS",2270.15,"score"
"A3C-CTS","Yars Revenge","A3C-CTS",13398.73,"score"
"A3C-CTS","Defender","A3C-CTS",38976.66,"score"
"A3C-CTS","Surround","A3C-CTS",-7.21,"score"
"A3C-FF","Alien","A3C FF (1 day) hs",182.1,"score"
"A3C-FF","Amidar","A3C FF (1 day) hs",283.9,"score"
"A3C-FF","Assault","A3C FF (1 day) hs",3746.1,"score"
"A3C-FF","Asterix","A3C FF (1 day) hs",6723,"score"
"A3C-FF","Asteroids","A3C FF (1 day) hs",3009.4,"score"
"A3C-FF","Atlantis","A3C FF (1 day) hs",772392,"score"
"A3C-FF","Bank Heist","A3C FF (1 day) hs",946,"score"
"A3C-FF","Battle Zone","A3C FF (1 day) hs",11340,"score"
"A3C-FF","Beam Rider","A3C FF (1 day) hs",13235.9,"score"
"A3C-FF","Berzerk","A3C FF (1 day) hs",1433.4,"score"
"A3C-FF","Bowling","A3C FF (1 day) hs",36.2,"score"
"A3C-FF","Boxing","A3C FF (1 day) hs",33.7,"score"
"A3C-FF","Breakout","A3C FF (1 day) hs",551.6,"score"
"A3C-FF","Centipede","A3C FF (1 day) hs",3306.5,"score"
"A3C-FF","Chopper Command","A3C FF (1 day) hs",4669,"score"
"A3C-FF","Crazy Climber","A3C FF (1 day) hs",101624,"score"
"A3C-FF","Demon Attack","A3C FF (1 day) hs",84997.5,"score"
"A3C-FF","Double Dunk","A3C FF (1 day) hs",0.1,"score"
"A3C-FF","Enduro","A3C FF (1 day) hs",-82.2,"score"
"A3C-FF","Fishing Derby","A3C FF (1 day) hs",13.6,"score"
"A3C-FF","Freeway","A3C FF (1 day) hs",0.1,"score"
"A3C-FF","Frostbite","A3C FF (1 day) hs",180.1,"score"
"A3C-FF","Gopher","A3C FF (1 day) hs",8442.8,"score"
"A3C-FF","Gravitar","A3C FF (1 day) hs",269.5,"score"
"A3C-FF","HERO","A3C FF (1 day) hs",28765.8,"score"
"A3C-FF","Ice Hockey","A3C FF (1 day) hs",-4.7,"score"
"A3C-FF","James Bond","A3C FF (1 day) hs",351.5,"score"
"A3C-FF","Kangaroo","A3C FF (1 day) hs",106,"score"
"A3C-FF","Krull","A3C FF (1 day) hs",8066.6,"score"
"A3C-FF","Kung-Fu Master","A3C FF (1 day) hs",3046,"score"
"A3C-FF","Montezuma Revenge","A3C FF (1 day) hs",53,"score"
"A3C-FF","Ms. Pacman","A3C FF (1 day) hs",594.4,"score"
"A3C-FF","Name This Game","A3C FF (1 day) hs",5614,"score"
"A3C-FF","Pong","A3C FF (1 day) hs",11.4,"score"
"A3C-FF","Private Eye","A3C FF (1 day) hs",194.4,"score"
"A3C-FF","Q*Bert","A3C FF (1 day) hs",13752.3,"score"
"A3C-FF","River Raid","A3C FF (1 day) hs",10001.2,"score"
"A3C-FF","Road Runner","A3C FF (1 day) hs",31769,"score"
"A3C-FF","Robotank","A3C FF (1 day) hs",2.3,"score"
"A3C-FF","Seaquest","A3C FF (1 day) hs",2300.2,"score"
"A3C-FF","Space Invaders","A3C FF (1 day) hs",2214.7,"score"
