"agent","task","method","result","metric"
"Human","Alien","Human noop",7127.7,"score"
"Human","Amidar","Human noop",1719.5,"score"
"Human","Assault","Human noop",742,"score"
"Human","Asterix","Human noop",8503.3,"score"
"Human","Asteroids","Human noop",47388.7,"score"
"Human","Atlantis","Human noop",29028.1,"score"
"Human","Bank Heist","Human noop",753.1,"score"
"Human","Battle Zone","Human noop",37187.5,"score"
"Human","Beam Rider","Human noop",16926.5,"score"
"Human","Berzerk","Human noop",2630.4,"score"
"Human","Bowling","Human noop",160.7,"score"
"Human","Boxing","Human noop",12.1,"score"
"Human","Breakout","Human noop",30.5,"score"
"Human","Centipede","Human noop",12017,"score"
"Human","Chopper Command","Human noop",7387.8,"score"
"Human","Crazy Climber","Human noop",35829.4,"score"
"Human","Defender","Human noop",18688.9,"score"
"Human","Demon Attack","Human noop",1971,"score"
"Human","Double Dunk","Human noop",-16.4,"score"
"Human","Enduro","Human noop",860.5,"score"
"Human","Fishing Derby","Human noop",-38.7,"score"
"Human","Freeway","Human noop",29.6,"score"
"Human","Frostbite","Human noop",4334.7,"score"
"Human","Gopher","Human noop",2412.5,"score"
"Human","Gravitar","Human noop",3351.4,"score"
"Human","HERO","Human noop",30826.4,"score"
"Human","Ice Hockey","Human noop",0.9,"score"
"Human","James Bond","Human noop",302.8,"score"
"Human","Kangaroo","Human noop",3035,"score"
"Human","Krull","Human noop",2665.5,"score"
"Human","Kung-Fu Master","Human noop",22736.3,"score"
"Human","Montezuma Revenge","Human noop",4753.3,"score"
"Human","Ms. Pacman","Human noop",6951.6,"score"
"Human","Name This Game","Human noop",8049,"score"
"Human","Phoenix","Human noop",7242.6,"score"
"Human","Pitfall!","Human noop",6463.7,"score"
"Human","Pong","Human noop",14.6,"score"
"Human","Private Eye","Human noop",69571.3,"score"
"Human","Q*Bert","Human noop",13455,"score"
"Human","River Raid","Human noop",17118,"score"
"Human","Road Runner","Human noop",7845,"score"
"Human","Robotank","Human noop",11.9,"score"
"Human","Seaquest","Human noop",42054.7,"score"
"Human","Skiing","Human noop",-4336.9,"score"
"Human","Solaris","Human noop",12326.7,"score"
"Human","Space Invaders","Human noop",1668.7,"score"
"Human","Star Gunner","Human noop",10250,"score"
"Human","Surround","Human noop",6.5,"score"
"Human","Tennis","Human noop",-8.3,"score"
"Human","Time Pilot","Human noop",5229.2,"score"
"Human","Tutankham","Human noop",167.6,"score"
"Human","Up and Down","Human noop",11693.2,"score"
"Human","Venture","Human noop",1187.5,"score"
"Human","Video Pinball","Human noop",17667.9,"score"
"Human","Wizard of Wor","Human noop",4756.5,"score"
"Human","Yars Revenge","Human noop",54576.9,"score"
"Human","Zaxxon","Human noop",9173.3,"score"
"Human","Alien","Human hs",6371.3,"score"
"Human","Amidar","Human hs",1540.4,"score"
"Human","Assault","Human hs",628.9,"score"
"Human","Asterix","Human hs",7536,"score"
"Human","Asteroids","Human hs",36517.3,"score"
"Human","Atlantis","Human hs",26575,"score"
"Human","Bank Heist","Human hs",644.5,"score"
"Human","Battle Zone","Human hs",33030,"score"
"Human","Beam Rider","Human hs",14961,"score"
"Human","Berzerk","Human hs",2237.5,"score"
"Human","Bowling","Human hs",146.5,"score"
"Human","Boxing","Human hs",9.6,"score"
"Human","Breakout","Human hs",27.9,"score"
"Human","Centipede","Human hs",10321.9,"score"
"Human","Chopper Command","Human hs",8930,"score"
"Human","Crazy Climber","Human hs",32667,"score"
"Human","Defender","Human hs",14296,"score"
"Human","Demon Attack","Human hs",3442.8,"score"
"Human","Double Dunk","Human hs",-14.4,"score"
"Human","Enduro","Human hs",740.2,"score"
"Human","Fishing Derby","Human hs",5.1,"score"
"Human","Freeway","Human hs",25.6,"score"
"Human","Frostbite","Human hs",4202.8,"score"
"Human","Gopher","Human hs",2311,"score"
"Human","Gravitar","Human hs",3116,"score"
"Human","HERO","Human hs",25839.4,"score"
"Human","Ice Hockey","Human hs",0.5,"score"
"Human","James Bond","Human hs",368.5,"score"
"Human","Kangaroo","Human hs",2739,"score"
"Human","Krull","Human hs",2109.1,"score"
"Human","Kung-Fu Master","Human hs",20786.8,"score"
"Human","Montezuma Revenge","Human hs",4182,"score"
"Human","Ms. Pacman","Human hs",15375,"score"
"Human","Name This Game","Human hs",6796,"score"
"Human","Phoenix","Human hs",6686.2,"score"
"Human","Pitfall!","Human hs",5998.9,"score"
"Human","Pong","Human hs",15.5,"score"
"Human","Private Eye","Human hs",64169.1,"score"
"Human","Q*Bert","Human hs",12085,"score"
"Human","River Raid","Human hs",14382.2,"score"
"Human","Road Runner","Human hs",6878,"score"
"Human","Robotank","Human hs",8.9,"score"
"Human","Seaquest","Human hs",40425.8,"score"
"Human","Skiing","Human hs",-3686.6,"score"
"Human","Solaris","Human hs",11032.6,"score"
"Human","Space Invaders","Human hs",1464.9,"score"
"Human","Star Gunner","Human hs",9528,"score"
"Human","Surround","Human hs",5.4,"score"
"Human","Tennis","Human hs",-6.7,"score"
"Human","Time Pilot","Human hs",5650,"score"
"Human","Tutankham","Human hs",138.3,"score"
"Human","Up and Down","Human hs",9896.1,"score"
"Human","Venture","Human hs",1039,"score"
"Human","Video Pinball","Human hs",15641.1,"score"
"Human","Wizard of Wor","Human hs",4556,"score"
"Human","Yars Revenge","Human hs",47135.2,"score"
"Human","Zaxxon","Human hs",8443,"score"
