"agent","agent_is","weight","hierarchy_belongs","source"
"Multi-view to Novel View","DeepNN","1","AI","Multi-view to Novel View"
"Pose2Seg (plus ground-truth keypoints)","DeepNN","1","AI","Pose2Seg (plus ground-truth keypoints)"
"SGPN-CNN","DeepNN","1","AI","SGPN-CNN"
"PANet","DeepNN","1","AI","PANet"
"ResNeXt-152 + 1 NL block","DeepNN","1","AI","ResNeXt-152 + 1 NL block"
"MS R-CNN + ResNet-101 DCN + FPN ","DeepNN","1","AI","MS R-CNN + ResNet-101 DCN + FPN "
"Mask R-CNN","DeepNN","1","AI","Mask R-CNN"
"MultiPath Network","DeepNN","1","AI","MultiPath Network"
"SciBERT (SciVocab)","DeepNN","1","AI","SciBERT (SciVocab)"
"SciBERT (Base Vocab)","DeepNN","1","AI","SciBERT (Base Vocab)"
"bi-LSTM","DeepNN","1","AI","bi-LSTM"
"GoogleNet","DeepNN","1","AI","GoogleNet"
"word-1, 2 POS-1, 2, 3","DeepNN","1","AI","word-1, 2 POS-1, 2, 3"
"atrous Residual U-Net","DeepNN","1","AI","atrous Residual U-Net"
"xDeepFM","DeepNN","1","AI","xDeepFM"
"DeepFM","DeepNN","1","AI","DeepFM"
"PNN*","DeepNN","1","AI","PNN*"
"OPNN","DeepNN","1","AI","OPNN"
"Wide & Deep (LR & DNN)","DeepNN","1","AI","Wide & Deep (LR & DNN)"
"IPNN","DeepNN","1","AI","IPNN"
"FNN","DeepNN","1","AI","FNN"
"Wide & Deep (FM & DNN)","DeepNN","1","AI","Wide & Deep (FM & DNN)"
"DIN + Dice Activation","DeepNN","1","AI","DIN + Dice Activation"
"DIN","DeepNN","1","AI","DIN"
"PNN","DeepNN","1","AI","PNN"
"Wide & Deep","DeepNN","1","AI","Wide & Deep"
"CNN","DeepNN","1","AI","CNN"
"Random Forest","DeepNN","1","AI","Random Forest"
"Gaussian SVM","DeepNN","1","AI","Gaussian SVM"
"Decision Tree","DeepNN","1","AI","Decision Tree"
"Boosted Trees","DeepNN","1","AI","Boosted Trees"
"K-NN","DeepNN","1","AI","K-NN"
"Logistic regression","DeepNN","1","AI","Logistic regression"
"Linear Discriminant","DeepNN","1","AI","Linear Discriminant"
"Linear SVM","DeepNN","1","AI","Linear SVM"
"PointPillars","DeepNN","1","AI","PointPillars"
"LGCN sub","DeepNN","1","AI","LGCN sub"
"GAT","DeepNN","1","AI","GAT"
"MTGAE","DeepNN","1","AI","MTGAE"
