"method","source","description"
"Multi-view to Novel View","Multi-view to Novel View","Multi-view to Novel view: Synthesizing Novel Views with Self-Learned Confidence"
"Pose2Seg (plus ground-truth keypoints)","Pose2Seg (plus ground-truth keypoints)","Pose2Seg: Detection Free Human Instance Segmentation"
"SGPN-CNN","SGPN-CNN","SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation"
"PANet","PANet","Path Aggregation Network for Instance Segmentation"
"ResNeXt-152 + 1 NL block","ResNeXt-152 + 1 NL block","Non-local Neural Networks"
"MS R-CNN + ResNet-101 DCN + FPN ","MS R-CNN + ResNet-101 DCN + FPN ","Mask Scoring R-CNN"
"Mask R-CNN","Mask R-CNN","Mask R-CNN"
"MultiPath Network","MultiPath Network","A MultiPath Network for Object Detection"
"SciBERT (SciVocab)","SciBERT (SciVocab)","SciBERT: Pretrained Contextualized Embeddings for Scientific Text"
"SciBERT (Base Vocab)","SciBERT (Base Vocab)","SciBERT: Pretrained Contextualized Embeddings for Scientific Text"
"bi-LSTM","bi-LSTM","A Corpus with Multi-Level Annotations of Patients, Interventions and Outcomes to Support Language Processing for Medical Literature"
"GoogleNet","GoogleNet","Hardness-Aware Deep Metric Learning"
"word-1, 2 POS-1, 2, 3","word-1, 2 POS-1, 2, 3","Identifying Well-formed Natural Language Questions"
"atrous Residual U-Net","atrous Residual U-Net","Learning Attraction Field Representation for Robust Line Segment Detection"
"xDeepFM","xDeepFM","xDeepFM: Combining Explicit and Implicit Feature Interactions for Recommender Systems"
"DeepFM","DeepFM","DeepFM: A Factorization-Machine based Neural Network for CTR Prediction"
"PNN*","PNN*","Product-based Neural Networks for User Response Prediction"
"OPNN","OPNN","Product-based Neural Networks for User Response Prediction"
"Wide & Deep (LR & DNN)","Wide & Deep (LR & DNN)","Wide & Deep Learning for Recommender Systems"
"IPNN","IPNN","Product-based Neural Networks for User Response Prediction"
"FNN","FNN","Deep Learning over Multi-field Categorical Data: A Case Study on User Response Prediction"
"Wide & Deep (FM & DNN)","Wide & Deep (FM & DNN)","Wide & Deep Learning for Recommender Systems"
"DIN + Dice Activation","DIN + Dice Activation","Deep Interest Network for Click-Through Rate Prediction"
"DIN","DIN","Deep Interest Network for Click-Through Rate Prediction"
"PNN","PNN","Product-based Neural Networks for User Response Prediction"
"Wide & Deep","Wide & Deep","Wide & Deep Learning for Recommender Systems"
"CNN","CNN","Predicting city safety perception based on visual image content"
"Random Forest","Random Forest","Early hospital mortality prediction using vital signals"
"Gaussian SVM","Gaussian SVM","Early hospital mortality prediction using vital signals"
"Decision Tree","Decision Tree","Early hospital mortality prediction using vital signals"
"Boosted Trees","Boosted Trees","Early hospital mortality prediction using vital signals"
"K-NN","K-NN","Early hospital mortality prediction using vital signals"
"Logistic regression","Logistic regression","Early hospital mortality prediction using vital signals"
"Linear Discriminant","Linear Discriminant","Early hospital mortality prediction using vital signals"
"Linear SVM","Linear SVM","Early hospital mortality prediction using vital signals"
"PointPillars","PointPillars","PointPillars: Fast Encoders for Object Detection from Point Clouds"
"CNN","CNN","Evaluating surgical skills from kinematic data using convolutional neural networks"
"LGCN sub","LGCN sub","Large-Scale Learnable Graph Convolutional Networks"
