"agent","task","method","result","metric"
"Multi-view to Novel View","ShapeNet Car","Multi-view to Novel View","0.923","SSIM"
"Multi-view to Novel View","ShapeNet Chair","Multi-view to Novel View","0.895","SSIM"
"Multi-view to Novel View","Synthia Novel View Synthesis","Multi-view to Novel View","0.697","SSIM"
"Multi-view to Novel View","KITTI Novel View Synthesis","Multi-view to Novel View","0.626","SSIM"
"Pose2Seg (plus ground-truth keypoints)","OCHuman","Pose2Seg (plus ground-truth keypoints)","0.552","AP"
"SGPN-CNN","NYU Depth v2","SGPN-CNN","43.5","MAP"
"PANet","COCO","PANet","42.0","Average Precision"
"ResNeXt-152 + 1 NL block","COCO","ResNeXt-152 + 1 NL block","40.3","Average Precision"
"MS R-CNN + ResNet-101 DCN + FPN ","COCO","MS R-CNN + ResNet-101 DCN + FPN ","39.6","Average Precision"
"Mask R-CNN","COCO","Mask R-CNN","37.1","Average Precision"
"MultiPath Network","COCO","MultiPath Network","25.0","Average Precision"
"SciBERT (SciVocab)","EBM-NLP","SciBERT (SciVocab)","71.18","F1"
"SciBERT (Base Vocab)","EBM-NLP","SciBERT (Base Vocab)","70.82","F1"
"bi-LSTM","EBM-NLP","bi-LSTM","66.30","F1"
"GoogleNet","CARS196","GoogleNet","79.1","P@1"
"word-1, 2 POS-1, 2, 3","Query Wellformedness","word-1, 2 POS-1, 2, 3","70.7","Accuracy"
"atrous Residual U-Net","wireframe dataset","atrous Residual U-Net","0.773","F1 score"
"xDeepFM","Criteo","xDeepFM","0.8052","AUC"
"xDeepFM","Criteo","xDeepFM","0.4418","Log Loss"
"DeepFM","Criteo","DeepFM","0.8007","AUC"
"DeepFM","Criteo","DeepFM","0.45083","Log Loss"
"PNN*","Criteo","PNN*","0.7987","AUC"
"PNN*","Criteo","PNN*","0.45214","Log Loss"
"OPNN","Criteo","OPNN","0.7982","AUC"
"OPNN","Criteo","OPNN","0.45256","Log Loss"
"Wide & Deep (LR & DNN)","Criteo","Wide & Deep (LR & DNN)","0.7981","AUC"
"Wide & Deep (LR & DNN)","Criteo","Wide & Deep (LR & DNN)","0.46772","Log Loss"
"IPNN","Criteo","IPNN","0.7972","AUC"
"IPNN","Criteo","IPNN","0.45323","Log Loss"
"FNN","Criteo","FNN","0.7963","AUC"
"FNN","Criteo","FNN","0.45738","Log Loss"
"Wide & Deep (FM & DNN)","Criteo","Wide & Deep (FM & DNN)","0.7850","AUC"
"Wide & Deep (FM & DNN)","Criteo","Wide & Deep (FM & DNN)","0.45382","Log Loss"
"DIN + Dice Activation","Amazon","DIN + Dice Activation","0.8871","AUC"
"DIN","Amazon","DIN","0.8818","AUC"
"DeepFM","Amazon","DeepFM","0.8683","AUC"
"PNN","Amazon","PNN","0.8679","AUC"
"Wide & Deep","Amazon","Wide & Deep","0.8637","AUC"
"DIN + Dice Activation","MovieLens 20M","DIN + Dice Activation","0.7348","AUC"
"DIN","MovieLens 20M","DIN","0.7337","AUC"
"DeepFM","MovieLens 20M","DeepFM","0.7324","AUC"
"PNN","MovieLens 20M","PNN","0.7321","AUC"
"Wide & Deep","MovieLens 20M","Wide & Deep","0.7304","AUC"
"DeepFM","Company*","DeepFM","0.8715","AUC"
"DeepFM","Company*","DeepFM","0.02618","Log Loss"
"FNN","Company*","FNN","0.8683","AUC"
"FNN","Company*","FNN","0.02629","Log Loss"
"Wide & Deep (LR & DNN)","Company*","Wide & Deep (LR & DNN)","0.8673","AUC"
"Wide & Deep (LR & DNN)","Company*","Wide & Deep (LR & DNN)","0.02634","Log Loss"
"PNN*","Company*","PNN*","0.8672","AUC"
"PNN*","Company*","PNN*","0.02636","Log Loss"
"IPNN","Company*","IPNN","0.8664","AUC"
"IPNN","Company*","IPNN","0.02637","Log Loss"
"Wide & Deep (FM & DNN)","Company*","Wide & Deep (FM & DNN)","0.8661","AUC"
"Wide & Deep (FM & DNN)","Company*","Wide & Deep (FM & DNN)","0.02640","Log Loss"
"OPNN","Company*","OPNN","0.8658","AUC"
"OPNN","Company*","OPNN","0.02641","Log Loss"
"OPNN","iPinYou","OPNN","0.8174","AUC"
"IPNN","iPinYou","IPNN","0.7914","AUC"
"PNN*","iPinYou","PNN*","0.7661","AUC"
"FNN","iPinYou","FNN","0.7619","AUC"
"xDeepFM","Dianping","xDeepFM","0.8639","AUC"
"xDeepFM","Dianping","xDeepFM","0.3156","Log Loss"
"DeepFM","Dianping","DeepFM","0.8481","AUC"
"DeepFM","Dianping","DeepFM","0.3333","Log Loss"
"PNN","Dianping","PNN","0.8445","AUC"
"PNN","Dianping","PNN","0.3424","Log Loss"
"Wide & Deep","Dianping","Wide & Deep","0.8361","AUC"
"Wide & Deep","Dianping","Wide & Deep","0.3364","Log Loss"
"xDeepFM","Bing News","xDeepFM","0.8400","AUC"
"xDeepFM","Bing News","xDeepFM","0.2649","Log Loss"
"Wide & Deep","Bing News","Wide & Deep","0.8377","AUC"
"Wide & Deep","Bing News","Wide & Deep","0.2668","Log Loss"
"DeepFM","Bing News","DeepFM","0.8376","AUC"
"DeepFM","Bing News","DeepFM","0.2671","Log Loss"
"PNN","Bing News","PNN","0.8321","AUC"
"PNN","Bing News","PNN","0.2775","Log Loss"
"CNN","Google Street Images","CNN","81","Accuracy"
"Random Forest","MIMIC-III","Random Forest","0.97","F1 score"
"Random Forest","MIMIC-III","Random Forest","0.97","Precision"
"Random Forest","MIMIC-III","Random Forest","0.97","Recall"
"Gaussian SVM","MIMIC-III","Gaussian SVM","0.96","F1 score"
"Gaussian SVM","MIMIC-III","Gaussian SVM","0.95","Precision"
"Gaussian SVM","MIMIC-III","Gaussian SVM","0.96","Recall"
"Decision Tree","MIMIC-III","Decision Tree","0.91","F1 score"
"Decision Tree","MIMIC-III","Decision Tree","0.90","Precision"
"Decision Tree","MIMIC-III","Decision Tree","0.92","Recall"
"Boosted Trees","MIMIC-III","Boosted Trees","0.87","F1 score"
"Boosted Trees","MIMIC-III","Boosted Trees","0.91","Precision"
"Boosted Trees","MIMIC-III","Boosted Trees","0.83","Recall"
"K-NN","MIMIC-III","K-NN","0.82","F1 score"
"K-NN","MIMIC-III","K-NN","0.80","Precision"
"K-NN","MIMIC-III","K-NN","0.85","Recall"
"Logistic regression","MIMIC-III","Logistic regression","0.72","F1 score"
"Logistic regression","MIMIC-III","Logistic regression","0.77","Precision"
"Logistic regression","MIMIC-III","Logistic regression","0.67","Recall"
"Linear Discriminant","MIMIC-III","Linear Discriminant","0.71","F1 score"
"Linear Discriminant","MIMIC-III","Linear Discriminant","0.78","Precision"
"Linear Discriminant","MIMIC-III","Linear Discriminant","0.66","Recall"
"Linear SVM","MIMIC-III","Linear SVM","0.70","F1 score"
"Linear SVM","MIMIC-III","Linear SVM","0.80","Precision"
"Linear SVM","MIMIC-III","Linear SVM","0.63","Recall"
"PointPillars","KITTI Cars Moderate","PointPillars","86.10","AP"
"PointPillars","KITTI Cyclists Moderate","PointPillars","62.25","AP"
"PointPillars","KITTI Pedestrians Moderate","PointPillars","50.23","AP"
"CNN","JIGSAWS","CNN","0.98","Accuracy"
"LGCN sub","Citeseer","LGCN sub","73.0","Accuracy"
"GAT","Citeseer","GAT","72.5","Accuracy"
"MTGAE","Citeseer","MTGAE","71.80","Accuracy"
"DGI","Citeseer","DGI","71.8","Accuracy"
"alpha-LoNGAE","Citeseer","alpha-LoNGAE","71.60","Accuracy"
"GCN","Citeseer","GCN","70.3","Accuracy"
"ChebNet","Citeseer","ChebNet","69.8","Accuracy"
"Planetoid*","Citeseer","Planetoid*","64.7","Accuracy"
"DeepWalk","Citeseer","DeepWalk","43.2","Accuracy"
"MTGAE","Pubmed","MTGAE","80.40","Accuracy"
