"name","link","description","date"
"paperswithcode","https://paperswithcode.com","Papers with code","01/12/2018"
"Multi-view to Novel View","https://shaohua0116.github.io/Multiview2Novelview/","Multi-view to Novel view: Synthesizing Novel Views with Self-Learned Confidence","2018-10-05"
"Pose2Seg (plus ground-truth keypoints)","http://arxiv.org/abs/1803.10683v2","Pose2Seg: Detection Free Human Instance Segmentation","2018-03-28"
"SGPN-CNN","http://arxiv.org/abs/1711.08588v1","SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation","2017-11-23"
"PANet","http://arxiv.org/abs/1803.01534v4","Path Aggregation Network for Instance Segmentation","2018-03-05"
"ResNeXt-152 + 1 NL block","http://arxiv.org/abs/1711.07971v3","Non-local Neural Networks","2017-11-21"
"MS R-CNN + ResNet-101 DCN + FPN ","http://arxiv.org/abs/1903.00241v1","Mask Scoring R-CNN","2019-03-01"
"Mask R-CNN","http://arxiv.org/abs/1703.06870v3","Mask R-CNN","2017-03-20"
"MultiPath Network","http://arxiv.org/abs/1604.02135v2","A MultiPath Network for Object Detection","2016-04-07"
"SciBERT (SciVocab)","http://arxiv.org/abs/1903.10676v1","SciBERT: Pretrained Contextualized Embeddings for Scientific Text","2019-03-26"
"SciBERT (Base Vocab)","http://arxiv.org/abs/1903.10676v1","SciBERT: Pretrained Contextualized Embeddings for Scientific Text","2019-03-26"
"bi-LSTM","http://arxiv.org/abs/1806.04185v1","A Corpus with Multi-Level Annotations of Patients, Interventions and Outcomes to Support Language Processing for Medical Literature","2018-06-11"
"GoogleNet","http://arxiv.org/abs/1903.05503v1","Hardness-Aware Deep Metric Learning","2019-03-13"
"word-1, 2 POS-1, 2, 3","http://arxiv.org/abs/1808.09419v1","Identifying Well-formed Natural Language Questions","2018-08-28"
"atrous Residual U-Net","https://arxiv.org/abs/1812.02122","Learning Attraction Field Representation for Robust Line Segment Detection","2019-02-24"
"xDeepFM","http://arxiv.org/abs/1803.05170v3","xDeepFM: Combining Explicit and Implicit Feature Interactions for Recommender Systems","2018-03-14"
"DeepFM","http://arxiv.org/abs/1703.04247v1","DeepFM: A Factorization-Machine based Neural Network for CTR Prediction","2017-03-13"
"PNN*","http://arxiv.org/abs/1611.00144v1","Product-based Neural Networks for User Response Prediction","2016-11-01"
"OPNN","http://arxiv.org/abs/1611.00144v1","Product-based Neural Networks for User Response Prediction","2016-11-01"
"Wide & Deep (LR & DNN)","http://arxiv.org/abs/1606.07792v1","Wide & Deep Learning for Recommender Systems","2016-06-24"
"IPNN","http://arxiv.org/abs/1611.00144v1","Product-based Neural Networks for User Response Prediction","2016-11-01"
"FNN","http://arxiv.org/abs/1601.02376v1","Deep Learning over Multi-field Categorical Data: A Case Study on User Response Prediction","2016-01-11"
"Wide & Deep (FM & DNN)","http://arxiv.org/abs/1606.07792v1","Wide & Deep Learning for Recommender Systems","2016-06-24"
"DIN + Dice Activation","http://arxiv.org/abs/1706.06978v4","Deep Interest Network for Click-Through Rate Prediction","2017-06-21"
"DIN","http://arxiv.org/abs/1706.06978v4","Deep Interest Network for Click-Through Rate Prediction","2017-06-21"
"PNN","http://arxiv.org/abs/1611.00144v1","Product-based Neural Networks for User Response Prediction","2016-11-01"
"Wide & Deep","http://arxiv.org/abs/1606.07792v1","Wide & Deep Learning for Recommender Systems","2016-06-24"
"CNN","https://arxiv.org/abs/1902.06871","Predicting city safety perception based on visual image content","2019-02-19"
"Random Forest","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Gaussian SVM","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Decision Tree","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Boosted Trees","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"K-NN","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Logistic regression","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Linear Discriminant","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"Linear SVM","http://arxiv.org/abs/1803.06589v2","Early hospital mortality prediction using vital signals","2018-03-18"
"PointPillars","http://arxiv.org/abs/1812.05784v1","PointPillars: Fast Encoders for Object Detection from Point Clouds","2018-12-14"
"CNN","http://arxiv.org/abs/1806.02750v1","Evaluating surgical skills from kinematic data using convolutional neural networks","2018-06-07"
"LGCN sub","http://arxiv.org/abs/1808.03965v1","Large-Scale Learnable Graph Convolutional Networks","2018-08-12"
"GAT","http://arxiv.org/abs/1803.10459v3","Graphite: Iterative Generative Modeling of Graphs","2018-03-28"
"MTGAE","http://arxiv.org/abs/1811.02798v1","Multi-Task Graph Autoencoders","2018-11-07"
"DGI","http://arxiv.org/abs/1809.10341v2","Deep Graph Infomax","2018-09-27"
"alpha-LoNGAE","http://arxiv.org/abs/1802.08352v2","Learning to Make Predictions on Graphs with Autoencoders","2018-02-23"
"GCN","http://arxiv.org/abs/1609.02907v4","Semi-Supervised Classification with Graph Convolutional Networks","2016-09-09"
"ChebNet","http://arxiv.org/abs/1606.09375v3","Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering","2016-06-30"
"Planetoid*","http://arxiv.org/abs/1603.08861v2","Revisiting Semi-Supervised Learning with Graph Embeddings","2016-03-29"
"DeepWalk","http://arxiv.org/abs/1403.6652v2","DeepWalk: Online Learning of Social Representations","2014-03-26"
"GraphGAN","http://arxiv.org/abs/1711.08267v1","GraphGAN: Graph Representation Learning with Generative Adversarial Nets","2017-11-22"
"Struc2vec","http://arxiv.org/abs/1704.03165v3","struc2vec: Learning Node Representations from Structural Identity","2017-04-11"
