"task","task_is","weight","hierarchy_belongs","source","Description"
"3D Room Layouts From A Single Rgb Panorama","3D Reconstruction","1","Computer Vision","paperswithcode",""
"Sentence Compression","Sentence Embeddings","1","Methodology","paperswithcode","Sentence compression produces a shorter sentence by removing redundant information,
preserving the grammatically and the important content of the original sentence."
"Visual Object Tracking","Object Tracking","1","Computer Vision","paperswithcode",""
"Multimodal Unsupervised Image-To-Image Translation","Image-to-Image Translation","1","Computer Vision","paperswithcode","Multimodal unsupervised image-to-image translation is the task of producing multiple translations to one domain from a single image in another domain."
"Synthetic-to-Real Translation","Image-to-Image Translation","1","Computer Vision","paperswithcode","Synthetic-to-real translation is the task of domain adaptation from synthetic (or virtual) data to real data."
"Unsupervised Image-To-Image Translation","Image-to-Image Translation","1","Computer Vision","paperswithcode","Unsupervised image-to-image translation is the task of doing image-to-image translation without ground truth image-to-image pairings."
"3D Face Reconstruction","Face Reconstruction","1","Computer Vision","paperswithcode","3D face reconstruction is the task of reconstructing a face from an image into a 3D form (or mesh)."
"Smile Recognition","Facial Expression Recognition","1","Computer Vision","paperswithcode","Smile recognition is the task of recognising a smiling face in a photo or video."
"Disguised Face Verification","Face Verification","1","Computer Vision","paperswithcode",""
"Occluded Face Detection","Face Detection","1","Computer Vision","paperswithcode",""
"Age-Invariant Face Recognition","Face Recognition","1","Computer Vision","paperswithcode","Age-invariant face recognition is the task of performing face recognition that is invariant to differences in age."
"Human Instance Segmentation","Instance Segmentation","1","Computer Vision","paperswithcode",""
"Few-Shot Image Classification","Meta-Learning","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"Multi-Human Parsing","Human Parsing","1","Computer Vision","paperswithcode","Multi-human parsing is the task of parsing multiple humans in crowded scenes."
"License Plate Recognition","Image Recognition","1","Computer Vision","paperswithcode",""
"3D Reconstruction","3D","1","Computer Vision","paperswithcode",""
"Document Image Classification","Image Classification","1","Computer Vision","paperswithcode","Document image classification is the task of classifying documents based on images of their contents."
"Unsupervised image classification","Image Classification","1","Computer Vision","paperswithcode","Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels."
"Sequential Image Classification","Image Classification","1","Computer Vision","paperswithcode","Sequential image classification is the task of classifying a sequence of images."
"Hyperspectral Image Classification","Image Classification","1","Computer Vision","paperswithcode","Hyperspectral image classification is the task of classifying a class label to every pixel in an image that was captured using (hyper)spectral sensors."
"Fine-Grained Image Classification","Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Semi-Supervised Image Classification","Image Classification","1","Computer Vision","paperswithcode",""
"Few-Shot Image Classification","Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"Depiction Invariant Object Recognition","Object Recognition","1","Computer Vision","paperswithcode","Depiction invariant object recognition is the task of recognising objects irrespective of how they are visually depicted (line drawing, realistic shaded drawing, photograph etc.)."
"3D Object Recognition","Object Recognition","1","Computer Vision","paperswithcode","3D object recognition is the task of recognising objects from 3D data."
"Extractive Document Summarization","Text Summarization","1","Natural Language Processing","paperswithcode",""
"Document Summarization","Text Summarization","1","Natural Language Processing","paperswithcode",""
